#,Текст вопроса (Напишите вопрос - 100),Прикрепить картинку,Правильный ответ (50),"Комментарий (Напишите комментарий для тех, кто будет оценивать Ваш вопрос - 400)","Описание (Раскройте тему вопроса, напишите авторское объяснение - 1500)",Источник информации (Напишите источник информации - 50 прикрепите ссылку на источник),Неправильный ответ 1 (50),Неправильный ответ 2 (50),Неправильный ответ 3 (50),Тема (50),Категория (50),Раздел (30),Сложность (5-ти бальная шкала сложности),Сложность (10-ти бальная шкала сложности),Сложность (15-ти бальная шкала сложности),Автор (30),Дата подачи вопроса,Рецензент (30),Дата резензии,Дата включения вопроса в базу
1,"Финансовый институт, обеспечивающий регулярное функционирование организованного рынка ценных бумаг?",,Фондовая биржа,,"Фо́ндовая би́ржа — финансовый институт и юридическое лицо, обеспечивающее регулярное функционирование организованного рынка ценных бумаг. 
В каждой стране мира с рыночной экономикой есть национальная фондовая биржа. Это организованный рынок для торговли ценными бумагами: акциями, облигациями и другими финансовыми инструментами.
Фондовые биржи могут быть некоммерческими организациями, открытыми или закрытыми акционерными обществами, государственными или квазигосударственными организациями. Во Всемирную федерацию бирж входят 63 фондовые биржи. Участвовать в торгах на бирже могут физические или юридические лица, либо те и другие.",Википедия,Биржа труда,Биржа ставок,Международная биржа цветов,#термины и понятия; #биржи;,#организация торговли финансовыми инструментами,,,1,,Александр Иванов,17.05.2021,Александр Иванов,17.05.2021,17.05.2021
2,"Сленговое наименование Трейдера, выигрывающего от повышения цены актива?",,"""Бык""",,"""Быки"" (сленг) — трейдеры, держащие или открывающие новые позиции в ожидании повышения цен; заключили контракт на покупку по нынешней цене и теперь им выгодно повышение цены, чтобы продать дороже (своими действиями они подталкивают цены вверх, в чём усматривается аналогия с тем, как быки поднимают вверх противника на своих рогах).",Википедия,"""Медведь""","""Хомяк""","""Лось""",#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
3,"Сленговое наименование Трейдера, выигрывающего от понижения цены актива?",,"""Медведь""",,"""Медведи"" (сленг) — трейдеры, держащие или открывающие новые позиции в ожидании понижения цен; заключили контракт на так называемую «продажу без покрытия» и теперь им выгодно понижение цены, чтобы купить дешевле (своими действиями они подталкивают цены вниз, в чём усматривается аналогия с тем, как медведи придавливают лапами вниз своего противника. Также термин связывают с поговоркой: «Делить шкуру неубитого медведя» (англ. to sell bear’s skin before one has caught the bear)) — ожидать будущей выгоды).",Википедия,"""Бык""","""Лось""","""Баран""",#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
4,"Сленговое наименование Трейдера, совершающего много сделок в течение небольшого промежутка времени?",,"""Заяц""",,"""Зайцы"" (они же - пипсовщики; сленг) - трейдеры, заключающие большое количество сделок в течение небольшого промежутка времени.",Википедия,"""Хомяк""","""Свинья""","""Баран""",#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
5,"Сленговое наименование Трейдера, вовремя не закрывающего прибыльную позицию?",,"""Свинья""",,"""Свиньи"" (сленг) — слишком жадные трейдеры (в англоязычной традиции свинья - символизирует жадность), которые не закрывают вовремя позиции, а ждут продолжения движения, хотя уже нет никаких предпосылок для такого продолжения. В итоге такое поведение приводит к тому, что выгодный момент для закрытия позиции упускается, в результате цена меняет направление движения, и в лучшем случае, такой трейдер «выходит» в ноль. В худшем — у него появляется «лось».",Википедия,"""Баран""","""Лось""","""Овца""",#термины и понятия,#сленг,,,2,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
6,"Сленговое наименование Трейдера, открывающего позицию в направлении ""затухающего"" тренда?",,"""Овца""",,"""Овцы"" (сленг) — трейдеры, которые слишком долго сомневаются и, в итоге, вступают в рынок тогда, когда другие уже закрывают свои прибыльные позиции.",Википедия,"""Лось""","""Бык""","""Медведь""",#термины и понятия,#сленг,,,2,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
7,"Что означает сленговое выражение ""Зарезать лося!""?",,Закрытие убыточной позиции,,"""Лось"" (созвучно англ. Loss - убыток; сленг) — сложившиеся убытки по сделке или выставленный ордер на закрытие позиции с убытком (stop-loss).",Википедия,Лишить жизни крупное парнокопытное животное,Закрытие прибыльной позиции,Заказать рибай-стейк из лосятины в ресторане,#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
8,Какой летательный аппарат символизирует резкий подьем цены актива?,,"""Ракета""",,,,"""Вертолет""","""Самолет""","""Дрон""",#термины и понятия,#сленг,,,1,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
9,"Что означает сленговое выражение ""Одеть шорты!""?",,Играть на понижение,,"Короткая позиция (шорт, от англ. short (короткий); сленг) — продажа взятого в долг актива с целью последующей покупки по цене ниже цены продажи и возвращении долга в натуральной форме. Название не связано с продолжительностью удерживания позиции. Подобные сделки возможны при маржинальной торговле. То же, - ""Встать в шорт"" - играть на понижение.",,Играть на повышение,Одеть укороченную одежду для ног,Соблюсти пляжный дресс-код,#термины и понятия,#сленг,,,2,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
10,"Что означает сленговое выражение ""Шорты превращаются в стринги!""?",,Растущий убыток от открытия короткой позиции,,,,Перекроить шорты в разновидность нижнего белья,Растущая прибыль от открытия короткой позиции,"Снятие шорт ""лёгким движением руки""",#термины и понятия,#сленг,,,2,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
11,"Что означает сленговое выражение ""Падающий нож""?",,Резкое и существенное падение цены актива,,"""Падающий нож"" (сленг) – это разговорный термин, обозначающий быстрое падение цены или стоимости актива (ценной бумаги, валюты и пр.) без немедленного ее восстановления. Этот термин обычно используется в таких фразах, как «не пытайтесь поймать падающий нож», что можно перевести как «дождитесь, пока цена на актив упадет окончательно и появятся признаки ее восстановления, прежде чем покупать такой актив». Вместо того, чтобы пытаться «поймать падающий нож», трейдеры должны искать подтверждение разворота тренда с помощью различных технических индикаторов и графических моделей. Примером подтверждения может быть простое ожидание в течение нескольких дней восходящего импульса после падения или просмотр индекса относительной силы (RSI) на предмет признаков более сильного восходящего тренда перед покупкой на новый тренд.",,Движение ножа вниз под действием силы тяжести,"Медленное, длительное сползание цены актива",Резкое падение цены и ее мгновенное восстановление,#термины и понятия,#сленг,,,2,,Александр Иванов,29.05.2021,Александр Иванов,29.05.2021,29.05.2021
12,"Что означает сленговое выражение ""Двигаться на север!""?",,Ждать роста цены актива,,"North (анг. Север) – Двигаться на север – двигаться в верхнюю область графика цены, бычий (восходящий) тренд",,Ждать падения цены актива,Ехать в Арктику,Ехать в Антарктику,#термины и понятия,#сленг,,,1,,Александр Иванов,30.05.2021,Александр Иванов,30.05.2021,30.05.2021
